Fri May 04 13:00:37 +0000 2018,thepaperdivamum,b'LOT OF 2 STARBUCKS COFFEE 2004 8 OZ CUP AND SAUCER WHITE OVAL MUG PLATE COFFEE   https://t.co/FfXcsvVQD1 via @eBay',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,22,77,en
 ,,,,,,,
Fri May 04 13:00:39 +0000 2018,goowonloona,"b'RT @L00AHH: #LOONATVPOI \n#LOONATVPOIxxyx\n# #LOONA\n\nThx to @loonaten #yyxy began shooting, I believe this is the location of the starbu'","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",,28,22,en
 ,,,,,,,
Fri May 04 13:00:43 +0000 2018,AskMikaHow,"b'Are we still boycotting Starbucks, because I really need a Frappuccino.'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Southern California,123,120,en
 ,,,,,,,
Fri May 04 13:00:51 +0000 2018,lillymcgonegal,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,904,818,en
 ,,,,,,,
Fri May 04 13:00:55 +0000 2018,halzfiez,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wisconsin, USA",228,333,en
 ,,,,,,,
Fri May 04 13:00:55 +0000 2018,bsanderson32,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,280,184,en
 ,,,,,,,
Fri May 04 13:00:56 +0000 2018,JackInStalk,"b'""SJW"" ultimately becomes ""everyone who isn\'t a straight up fascist"" https://t.co/Xw59l62CcF'","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",,99,140,en
 ,,,,,,,
Fri May 04 13:01:00 +0000 2018,2018Philly,b'  Blow the whistle @ #wikileaks #eagles #nfl #patriots  #metoo  #amazon #netflix #iTunes #Brexit #nyc  #starbucks https://t.co/a7xYe6J2Ko',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,480,976,en
 ,,,,,,,
Fri May 04 13:01:03 +0000 2018,byanaenae,b'RT @yannewolf_: @byanaenae \n\n betch\n gO USJR\n bandana\n messy hair\n seaside\n starbucks',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ron sia garciano ï¿½,971,723,en
 ,,,,,,,
Fri May 04 13:01:04 +0000 2018,wackmejackie,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dairy State,448,151,en
 ,,,,,,,
Fri May 04 13:01:07 +0000 2018,J_Fonte28,"b'RT @sweetgreensnowp: @J_Fonte28 because 1/3 of americans are still expecting unicorns\nwho will bless their anti POC tirades in starbucks, w'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,4554,4671,en
 ,,,,,,,
Fri May 04 13:01:11 +0000 2018,alohakellyphoto,b'What have you been up to?!  #selflove #masteringmysoul @ Starbucks https://t.co/SW1S1DxIwl',"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Saint Louis,72,92,en
 ,,,,,,,
Fri May 04 13:01:12 +0000 2018,dengar,"b'Sainsburys, Lidl, Starbucks: 5 things that mattered this week and why https://t.co/w0hpoWD7H1'","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",London ,767,702,en
 ,,,,,,,
